Date,Simple Date,Outdoor Temperature (F),Feels Like (F),Dew Point (F),Wind Speed (mph),Wind Gust (mph),Wind Direction (deg),Rain Rate (in/hr),Daily Rain (in),Relative Pressure (inHg),Humidity (pct),Absolute Pressure (inHg),Soil 1 Battery (V)
2024-06-25T23:18:00-04:00,6/25/2024 23:18,66.6,66.6,60.6,1.3,5.1,258,0,0,29.8,81,29.8,
2024-06-25T23:33:00-04:00,6/25/2024 23:33,66.2,66.2,60.5,4.9,8.1,279,0,0,29.8,82,29.8,4.3
2024-06-25T23:48:00-04:00,6/25/2024 23:48,65.8,65.8,60.8,2.5,5.6,287,0,0,29.8,84,29.8,
2024-06-26T00:03:00-04:00,6/26/2024 00:03,65.3,65.3,60.7,0,0.9,287,0,0,29.8,85,29.8,
2024-06-26T00:18:00-04:00,6/26/2024 00:18,65.1,65.1,60.5,0.2,2.2,287,0,0,29.79,85,29.79,
2024-06-26T00:33:00-04:00,6/26/2024 00:33,64.9,64.9,60.6,0.4,2.5,287,0,0,29.79,86,29.79,4.3
2024-06-26T00:48:00-04:00,6/26/2024 00:48,64.9,64.9,60.6,0,0,287,0,0,29.78,86,29.78,
2024-06-26T01:03:00-04:00,6/26/2024 01:03,64.9,64.9,60.9,3.6,7.4,286,0,0,29.78,87,29.78,
2024-06-26T01:18:00-04:00,6/26/2024 01:18,65.7,65.7,60.7,6.7,12.1,279,0,0,29.78,84,29.78,
2024-06-26T01:33:00-04:00,6/26/2024 01:33,65.5,65.5,60.9,5.4,9.6,282,0,0,29.78,85,29.78,4.29
2024-06-26T01:48:00-04:00,6/26/2024 01:48,66,66,60.7,6.7,11.2,280,0,0,29.77,83,29.77,
2024-06-26T02:03:00-04:00,6/26/2024 02:03,66.7,66.7,60.3,6.7,10.3,281,0,0,29.77,80,29.77,
2024-06-26T02:18:00-04:00,6/26/2024 02:18,66.6,66.6,60.2,8.3,12.1,288,0,0,29.76,80,29.76,
