sst,ID,bathy,lon,lon
10.251,895173,-14.90212699,-69.87000275,43.72000122
10.237,896273,-9.133845727,-69.86000061,43.72000122
10.08,858874,-8.419802799,-70.19999695,43.72999954
10.094,859974,-9.882724283,-70.19000244,43.72999954
10.109,861074,-13.29168461,-70.18000031,43.72999954
10.124,862174,-13.69692646,-70.16999817,43.72999954
10.139,863274,-11.50659133,-70.16000366,43.72999954
10.155,864374,-13.09762297,-70.15000153,43.72999954
10.172,865474,-6.737602508,-70.13999939,43.72999954
10.225,868774,-5.15167339,-70.11000061,43.72999954
10.243,869874,-16.17325004,-70.09999847,43.72999954
10.28,872074,-18.41680041,-70.08000183,43.72999954
10.297,873174,-27.80454002,-70.06999969,43.72999954
10.314,874274,-32.83409261,-70.05999756,43.72999954
10.33,875374,-16.73813705,-70.05000305,43.72999954
10.344,876474,-7.440801185,-70.04000092,43.72999954
10.356,877574,-8.61595811,-70.02999878,43.72999954
10.365,878674,-11.87254566,-70.01999664,43.72999954
10.372,879774,-23.1167554,-70.01000214,43.72999954
10.376,881974,-11.75741206,-69.98999786,43.72999954
10.373,883074,-17.11536973,-69.98000336,43.72999954
10.367,884174,-15.68947834,-69.97000122,43.72999954
10.359,885274,-18.58076987,-69.95999908,43.72999954
10.349,886374,-25.9267671,-69.94999695,43.72999954
10.322,888574,-17.11361604,-69.93000031,43.72999954
10.306,889674,-18.37212501,-69.91999817,43.72999954
10.29,890774,-25.64912962,-69.91000366,43.72999954
10.273,891874,-21.54250878,-69.90000153,43.72999954
10.257,892974,-18.49428509,-69.88999939,43.72999954
10.241,894074,-19.37040089,-69.87999725,43.72999954
10.211,896274,-8.989386695,-69.86000061,43.72999954
10.081,859975,-7.379878754,-70.19000244,43.74000168
10.109,862175,-12.90182617,-70.16999817,43.74000168
10.124,863275,-10.05976321,-70.16000366,43.74000168
10.139,864375,-9.623837213,-70.15000153,43.74000168
10.155,865475,-9.206510804,-70.13999939,43.74000168
10.223,869875,-12.47096203,-70.09999847,43.74000168
10.239,870975,-11.32142899,-70.08999634,43.74000168
10.271,873175,-28.92031601,-70.06999969,43.74000168
10.286,874275,-22.59090532,-70.05999756,43.74000168
10.299,875375,-13.20261535,-70.05000305,43.74000168
10.311,876475,-6.488835464,-70.04000092,43.74000168
10.321,877575,-9.16380007,-70.02999878,43.74000168
10.333,879775,-8.972505161,-70.01000214,43.74000168
10.336,880875,-20.01441922,-70,43.74000168
10.333,883075,-12.46910391,-69.98000336,43.74000168
10.328,884175,-9.853180228,-69.97000122,43.74000168
10.32,885275,-19.67193129,-69.95999908,43.74000168
10.311,886375,-16.90655962,-69.94999695,43.74000168
10.3,887475,-14.10049545,-69.94000244,43.74000168
