#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,End of File
514,06/05/2025 09:49:44,44.18,,,,
515,06/05/2025 09:54:44,46.59,,,,
516,06/05/2025 09:59:44,48.82,,,,
517,06/05/2025 10:04:44,50.49,,,,
518,06/05/2025 10:09:44,52.12,,,,
519,06/05/2025 10:14:44,53.24,,,,
520,06/05/2025 10:19:44,54.35,,,,
521,06/05/2025 10:24:44,52.85,,,,
522,06/05/2025 10:29:44,55.08,,,,
523,06/05/2025 10:34:44,56.41,,,,
524,06/05/2025 10:39:44,56.37,,,,
525,06/05/2025 10:44:44,55.68,,,,
526,06/05/2025 10:49:44,55.47,,,,
527,06/05/2025 10:54:44,56.63,,,,
528,06/05/2025 10:59:44,57.96,,,,
529,06/05/2025 11:04:44,58.30,,,,
530,06/05/2025 11:09:44,58.47,,,,
531,06/05/2025 11:14:44,58.43,,,,
532,06/05/2025 11:19:44,59.41,,,,
533,06/05/2025 11:24:44,59.41,,,,
534,06/05/2025 11:29:44,60.14,,,,
535,06/05/2025 11:34:44,60.23,,,,
536,06/05/2025 11:39:44,60.14,,,,
537,06/05/2025 11:44:44,60.44,,,,
538,06/05/2025 11:49:44,60.57,,,,
539,06/05/2025 11:54:44,60.70,,,,
540,06/05/2025 11:59:44,60.40,,,,
541,06/05/2025 12:04:44,60.23,,,,
542,06/05/2025 12:09:44,59.63,,,,
543,06/05/2025 12:14:44,58.77,,,,
544,06/05/2025 12:19:44,59.33,,,,
545,06/05/2025 12:24:44,58.99,,,,
546,06/05/2025 12:29:44,59.20,,,,
547,06/05/2025 12:34:44,58.26,,,,
548,06/05/2025 12:39:44,57.87,,,,
549,06/05/2025 12:44:44,57.74,,,,
550,06/05/2025 12:49:44,56.45,,,,
551,06/05/2025 12:54:44,56.37,,,,
552,06/05/2025 12:59:44,55.85,,,,
553,06/05/2025 13:04:44,56.33,,,,
554,06/05/2025 13:09:44,55.21,,,,
555,06/05/2025 13:14:44,55.90,,,,
556,06/05/2025 13:19:44,56.33,,,,
557,06/05/2025 13:24:44,56.80,,,,
558,06/05/2025 13:29:44,55.94,,,,
559,06/05/2025 13:34:44,54.52,,,,
560,06/05/2025 13:39:44,53.75,,,,
561,06/05/2025 13:44:44,53.71,,,,
562,06/05/2025 13:49:44,52.68,,,,
