#,Date-Time (EDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,End of File
454,06/03/2025 22:07:35,14.03,21.82,,,,,
455,06/03/2025 22:12:35,13.98,21.82,,,,,
456,06/03/2025 22:17:35,13.98,21.82,,,,,
457,06/03/2025 22:22:35,14.07,21.82,,,,,
458,06/03/2025 22:27:35,13.98,21.82,,,,,
459,06/03/2025 22:32:35,13.94,21.82,,,,,
460,06/03/2025 22:37:35,13.85,21.82,,,,,
461,06/03/2025 22:42:35,13.81,21.82,,,,,
462,06/03/2025 22:47:35,13.73,21.82,,,,,
463,06/03/2025 22:52:35,13.64,21.82,,,,,
464,06/03/2025 22:57:35,13.60,21.82,,,,,
465,06/03/2025 23:02:35,13.55,22.24,,,,,
466,06/03/2025 23:07:35,13.51,21.82,,,,,
467,06/03/2025 23:12:35,13.34,21.82,,,,,
468,06/03/2025 23:17:35,13.21,21.82,,,,,
469,06/03/2025 23:22:35,13.12,22.24,,,,,
470,06/03/2025 23:27:35,13.04,21.82,,,,,
471,06/03/2025 23:32:35,13.00,21.82,,,,,
472,06/03/2025 23:37:35,12.82,21.82,,,,,
473,06/03/2025 23:42:35,12.70,21.82,,,,,
474,06/03/2025 23:47:35,12.74,21.82,,,,,
475,06/03/2025 23:52:35,12.78,21.82,,,,,
476,06/03/2025 23:57:35,12.70,21.82,,,,,
477,06/04/2025 00:02:35,12.65,21.82,,,,,
478,06/04/2025 00:07:35,12.61,21.82,,,,,
479,06/04/2025 00:12:35,12.52,21.82,,,,,
480,06/04/2025 00:17:35,12.52,21.82,,,,,
481,06/04/2025 00:22:35,12.52,21.82,,,,,
482,06/04/2025 00:27:35,12.44,21.82,,,,,
483,06/04/2025 00:32:35,12.48,21.82,,,,,
484,06/04/2025 00:37:35,12.40,21.82,,,,,
485,06/04/2025 00:42:35,12.40,21.82,,,,,
