"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-30 01:45:00,105.184554230551,1.5868077429563,18.5570942111237,17.0687287173666,1014.63907491487,8971.95590238366
2023-06-30 01:50:00,105.144804088586,1.58638358880616,18.5576617480136,17.0692962542565,1014.6375368899,8972.86926220204
2023-06-30 01:55:00,105.088018171493,1.58595915319738,18.5582292849035,17.0698637911464,1014.63599886493,8972.86926220204
2023-06-30 02:00:00,105.065303804656,1.58553413531615,18.5593643586833,17.0704313280363,1014.63446083995,8972.86926220204
2023-06-30 02:05:00,105.042589437819,1.58510882629869,18.5604994324631,17.0709988649262,1014.63292281498,8972.86926220204
2023-06-30 02:10:00,105.025553662692,1.5846837692452,18.5616345062429,17.0715664018161,1014.63119182747,8972.86926220204
2023-06-30 02:15:00,105.034090909091,1.58425867306408,18.5625212947189,17.0721749006246,1014.63180579216,8968.82578080636
2023-06-30 02:20:00,105.011363636364,1.58383328607852,18.5636570130608,17.0727427597956,1014.63007382169,8968.82578080636
2023-06-30 02:25:00,104.988636363636,1.58340672334924,18.5642248722317,17.0738784781374,1014.62834185122,8968.82578080636
2023-06-30 02:30:00,104.971590909091,1.58297929111348,18.5647927314026,17.0750141964793,1014.62680295287,8968.82578080636
2023-06-30 02:35:00,104.960227272727,1.58255184970791,18.5653605905735,17.0761499148211,1014.62526405451,8968.82578080636
2023-06-30 02:40:00,104.9375,1.58212470536974,18.5664963089154,17.0767177739921,1014.62372515616,8968.82578080636
2023-06-30 02:45:00,104.886363636364,1.58169697315971,18.5676320272572,17.077285633163,1014.62237932993,8968.82578080636
2023-06-30 02:50:00,104.869318181818,1.58126868798291,18.5681998864282,17.0784213515048,1014.62103350369,8968.82578080636
2023-06-30 02:55:00,104.840909090909,1.58084011183586,18.56933560477,17.0789892106758,1014.61968767746,8968.82578080636
2023-06-30 03:00:00,104.795454545455,1.58041065685374,18.5699034639409,17.0801249290176,1014.61834185122,8969.7396592845
2023-06-30 03:05:00,104.738636363636,1.57998002614194,18.5710391822828,17.0812606473595,1014.61699602499,8970.65353776264
2023-06-30 03:10:00,104.710227272727,1.57954821970048,18.5721749006246,17.0823963657013,1014.61545712663,8970.65353776264
2023-06-30 03:15:00,104.704545454545,1.57911523752934,18.5733106189665,17.0835320840432,1014.61391822828,8970.65353776264
2023-06-30 03:20:00,104.70722001137,1.57868140477409,18.5742045454545,17.0841477272727,1014.61471590909,8966.6065
2023-06-30 03:25:00,104.661739624787,1.5782467211656,18.5753409090909,17.0852840909091,1014.61317613636,8967.52089772727
2023-06-30 03:30:00,104.809550881182,1.5778120375571,18.5764772727273,17.0864204545455,1014.61182954545,8969.34969886364
2023-06-30 03:35:00,104.806598407281,1.57737676609664,18.5768050028425,17.0870380898238,1014.61281978397,8967.12945992041
2023-06-30 03:40:00,104.755403868032,1.57694064351794,18.5773735076748,17.0881750994883,1014.61147242752,8969.87421830586
2023-06-30 03:45:00,104.732650739477,1.57650448059524,18.5779420125071,17.0893121091529,1014.61012507106,8973.53389994315
2023-06-30 03:50:00,104.704209328783,1.57606831767254,18.5785105173394,17.0904491188175,1014.60877771461,8977.19358158044
2023-06-30 03:55:00,104.641638225256,1.57563152660014,18.5790790221717,17.0915861284821,1014.60743035816,8979.02342239909
2023-06-30 04:00:00,104.613196814562,1.57519444439151,18.579647527004,17.0927231381467,1014.60608300171,8979.93833996589
2023-06-30 04:05:00,104.57337883959,1.5747567746693,18.5802160318363,17.0938601478113,1014.60473564525,8979.93833996589
2023-06-30 04:10:00,104.522184300341,1.57431910494709,18.5807845366686,17.0949971574758,1014.6033882888,8978.10849914724
2023-06-30 04:15:00,104.530449630051,1.57388026019772,18.5811149032992,17.0956200227531,1014.60437428896,8974.06109783845
2023-06-30 04:20:00,104.672737620945,1.57344024042119,18.5816837315131,17.0967576791809,1014.60321956769,8971.314778157
2023-06-30 04:25:00,104.627205463859,1.57299904561749,18.582252559727,17.0978953356086,1014.60187144482,8967.65301478953
2023-06-30 04:30:00,104.587364826409,1.57255700056484,18.5828213879408,17.0990329920364,1014.60052332196,8963.07581342435
