"date","sst","min","max","sd","range","year","month","hold"
2004-08-15,15.8444139130435,15.304,16.259,0.202017479013564,0.955000000000041,"2004",8,2025-08-15
2004-08-16,16.4127339130435,15.701,16.838,0.226320970499031,1.137,"2004",8,2025-08-16
2004-08-17,16.3578434782609,15.901,16.739,0.233066610960634,0.837999999999965,"2004",8,2025-08-17
2004-08-18,16.3311495652174,15.521,16.956,0.424057867692902,1.435,"2004",8,2025-08-18
2004-08-19,16.1802869565217,15.354,16.799,0.457643238657368,1.44499999999999,"2004",8,2025-08-19
2004-08-20,15.9735060869565,15.339,16.79,0.410689569958006,1.45100000000002,"2004",8,2025-08-20
2004-08-21,15.887172173913,15.372,16.65,0.309033651615211,1.27799999999996,"2004",8,2025-08-21
2004-08-22,15.7294104347826,15.084,16.76,0.432420883858365,1.67599999999999,"2004",8,2025-08-22
2004-08-23,15.7110452173913,14.889,16.701,0.3741601532118,1.81200000000001,"2004",8,2025-08-23
2004-08-24,15.6228452173913,14.895,15.955,0.217557550655674,1.06,"2004",8,2025-08-24
2004-08-25,15.6318747826087,14.927,16.244,0.329799799330195,1.31700000000001,"2004",8,2025-08-25
2004-08-26,15.8542034782609,15.118,16.599,0.355735664090137,1.48099999999999,"2004",8,2025-08-26
2004-08-27,16.0314017391304,15.613,16.628,0.223989337563013,1.01499999999999,"2004",8,2025-08-27
2004-08-28,16.5385304347826,16.039,17.023,0.240299933146099,0.984000000000037,"2004",8,2025-08-28
2004-08-29,16.6597652173913,16.293,17.138,0.180297843517089,0.84499999999997,"2004",8,2025-08-29
2004-08-30,16.8851356521739,16.423,17.267,0.158376263372637,0.843999999999994,"2004",8,2025-08-30
2004-08-31,16.6817043478261,16.048,16.947,0.171530625962492,0.899000000000001,"2004",8,2025-08-31
2004-09-01,16.5300817391304,15.795,17.203,0.324134180818176,1.40799999999996,"2004",9,2025-09-01
2004-09-02,16.3406052173913,15.66,17.065,0.314762211516115,1.40499999999997,"2004",9,2025-09-02
2004-09-03,16.0999652173913,15.428,16.831,0.212466407692648,1.40300000000002,"2004",9,2025-09-03
2004-09-04,15.7511808695652,15.034,16.279,0.314736262550727,1.245,"2004",9,2025-09-04
2004-09-05,14.8857808695652,14.03,15.668,0.406238816816465,1.63800000000003,"2004",9,2025-09-05
2004-09-06,14.66672,13.861,15.291,0.358252922744605,1.43000000000001,"2004",9,2025-09-06
2004-09-07,14.6145982608696,13.844,15.346,0.349623356820738,1.50200000000001,"2004",9,2025-09-07
2004-09-08,14.8306156521739,14.184,15.316,0.29980561663938,1.13199999999995,"2004",9,2025-09-08
2004-09-09,15.2643460869565,14.813,15.584,0.171820281932728,0.771000000000015,"2004",9,2025-09-09
2004-09-10,15.4999356521739,14.862,16.139,0.398390202806075,1.27699999999999,"2004",9,2025-09-10
2004-09-11,15.4489060869565,14.804,16.151,0.38705512155656,1.34700000000004,"2004",9,2025-09-11
2004-09-12,15.5769234782609,15.019,16.119,0.334514611778181,1.10000000000002,"2004",9,2025-09-12
2004-09-13,15.6614226086957,15.044,16.181,0.291285024829714,1.137,"2004",9,2025-09-13
2004-09-14,15.6093565217391,15.139,16.018,0.213309004863425,0.879000000000019,"2004",9,2025-09-14
2004-09-15,15.3776504347826,14.921,15.74,0.164641002855422,0.819000000000017,"2004",9,2025-09-15
2004-09-16,15.3333617391304,14.859,15.515,0.116786328896746,0.656000000000006,"2004",9,2025-09-16
2004-09-17,15.2352660869565,14.796,15.581,0.186940721234212,0.785000000000025,"2004",9,2025-09-17
2004-09-18,15.1787234782609,14.71,15.627,0.257034918901925,0.91700000000003,"2004",9,2025-09-18
2004-09-19,14.8088939130435,14.062,15.469,0.34474823548324,1.40699999999998,"2004",9,2025-09-19
2004-09-20,14.020867826087,13.581,14.626,0.171201401226309,1.04499999999996,"2004",9,2025-09-20
2004-09-21,13.9422243478261,13.726,14.415,0.139676069117795,0.689000000000021,"2004",9,2025-09-21
2004-09-22,14.8215930434783,14.217,15.514,0.339163689556962,1.29700000000003,"2004",9,2025-09-22
2004-09-23,14.8805565217391,14.163,15.753,0.418370844600308,1.58999999999997,"2004",9,2025-09-23
2004-09-24,14.8439252173913,14.177,15.573,0.354818233351072,1.39599999999996,"2004",9,2025-09-24
2004-09-25,14.9455026086957,14.34,15.583,0.337655319135093,1.24300000000005,"2004",9,2025-09-25
