Date,Simple Date,Outdoor Temperature (??F),Feels Like (??F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (??),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-08-08T00:35:00-04:00,8/8/2025 00:35,65.1,65.1,0.2,1.1,5.8,176,0,0,0,0,0.1,180.87,30.59,82,0,0,30.18,1
2025-08-08T00:30:00-04:00,8/8/2025 00:30,64.9,64.9,0.4,1.1,5.8,161,0,0,0,0,0.1,180.87,30.59,82,0,0,30.17,1
2025-08-08T00:25:00-04:00,8/8/2025 00:25,65.1,65.1,0.9,2.2,5.8,202,0,0,0,0,0.1,180.87,30.59,82,0,0,30.18,1
2025-08-08T00:20:00-04:00,8/8/2025 00:20,65.1,65.1,0.9,1.1,5.8,168,0,0,0,0,0.1,180.87,30.59,82,0,0,30.17,1
2025-08-08T00:15:00-04:00,8/8/2025 00:15,65.3,65.3,2.7,3.4,5.8,198,0,0,0,0,0.1,180.87,30.59,82,0,0,30.18,1
2025-08-08T00:10:00-04:00,8/8/2025 00:10,65.1,65.1,2.5,3.4,5.8,202,0,0,0,0,0.1,180.87,30.6,83,0,0,30.18,1
2025-08-08T00:05:00-04:00,8/8/2025 00:05,65.1,65.1,1.3,2.2,3.4,188,0,0,0,0,0.1,180.87,30.59,83,0,0,30.17,1
2025-08-08T00:00:00-04:00,8/8/2025 00:00,65.1,65.1,1.8,2.2,2.2,187,0,0,0,0,0.1,180.87,30.59,83,0,0,30.17,1
2025-08-07T23:55:00-04:00,8/7/2025 23:55,65.3,65.3,1.1,2.2,17.2,179,0,0,0,0,0.1,180.87,30.59,83,0,0,30.17,1
2025-08-07T23:50:00-04:00,8/7/2025 23:50,65.5,65.5,4,4.5,17.2,198,0,0,0,0,0.1,180.87,30.59,83,0,0,30.18,1
2025-08-07T23:45:00-04:00,8/7/2025 23:45,65.7,65.7,1.1,1.1,17.2,169,0,0,0,0,0.1,180.87,30.6,82,0,0,30.18,1
2025-08-07T23:40:00-04:00,8/7/2025 23:40,65.8,65.8,0.4,1.1,17.2,172,0,0,0,0,0.1,180.87,30.59,81,0,0,30.17,1
2025-08-07T23:35:00-04:00,8/7/2025 23:35,65.8,65.8,4,5.8,17.2,214,0,0,0,0,0.1,180.87,30.59,81,0,0,30.18,1
2025-08-07T23:30:00-04:00,8/7/2025 23:30,65.8,65.8,3.1,3.4,17.2,202,0,0,0,0,0.1,180.87,30.6,81,0,0,30.18,1
2025-08-07T23:25:00-04:00,8/7/2025 23:25,66,66,3.8,4.5,17.2,211,0,0,0,0,0.1,180.87,30.59,81,0,0,30.17,1
2025-08-07T23:20:00-04:00,8/7/2025 23:20,66.2,66.2,3.8,5.8,17.2,228,0,0,0,0,0.1,180.87,30.59,81,0,0,30.18,1
2025-08-07T23:15:00-04:00,8/7/2025 23:15,66,66,5.1,5.8,17.2,257,0,0,0,0,0.1,180.87,30.6,81,0,0,30.18,1
2025-08-07T23:10:00-04:00,8/7/2025 23:10,66,66,3.4,4.5,17.2,222,0,0,0,0,0.1,180.87,30.59,81,0,0,30.18,1
2025-08-07T23:05:00-04:00,8/7/2025 23:05,66,66,3.8,4.5,17.2,190,0,0,0,0,0.1,180.87,30.59,80,0,0,30.17,1
2025-08-07T23:00:00-04:00,8/7/2025 23:00,66.2,66.2,2.7,3.4,17.2,208,0,0,0,0,0.1,180.87,30.6,80,0,0,30.18,1
2025-08-07T22:55:00-04:00,8/7/2025 22:55,66.4,66.4,2.2,3.4,17.2,200,0,0,0,0,0.1,180.87,30.6,79,0,0,30.18,1
2025-08-07T22:50:00-04:00,8/7/2025 22:50,66.4,66.4,8.7,10.3,17.2,200,0,0,0,0,0.1,180.87,30.59,79,0,0,30.18,1
